The contents of the file /multi_marketplace_pipeline/data/amazon_orders_clean.csv are as follows:

order_id,order_date,customer_id,product_id,quantity,price,total_price
1,2023-01-01,CUST001,PROD001,2,20.00,40.00
2,2023-01-02,CUST002,PROD002,1,15.00,15.00
3,2023-01-03,CUST003,PROD003,3,10.00,30.00
4,2023-01-04,CUST001,PROD004,1,25.00,25.00
5,2023-01-05,CUST004,PROD005,5,5.00,25.00
6,2023-01-06,CUST002,PROD001,2,20.00,40.00
7,2023-01-07,CUST005,PROD002,1,15.00,15.00
8,2023-01-08,CUST006,PROD003,4,10.00,40.00
9,2023-01-09,CUST007,PROD004,1,25.00,25.00
10,2023-01-10,CUST008,PROD005,3,5.00,15.00
