order_id,order_date,product_id,product_category,customer_id,product_price,revenue,marketplace
MSH_1,2023-01-01,MSH_1,Clothing,CUST_1,190.4,91201.6,Meesho
MSH_2,2023-01-01,MSH_2,Home & Kitchen,CUST_2,475.6,9987.6,Meesho
MSH_3,2023-01-01,MSH_3,Toys,CUST_3,367.34,127834.31999999999,Meesho
MSH_4,2023-01-01,MSH_4,Toys,CUST_4,301.34,218471.49999999997,Meesho
MSH_5,2023-01-01,MSH_5,Books,CUST_5,82.23,56080.86,Meesho
MSH_6,2023-01-01,MSH_6,Toys,CUST_6,82.22,68571.48,Meesho
MSH_7,2023-01-01,MSH_7,Electronics,CUST_7,33.75,19068.75,Meesho
MSH_8,2023-01-01,MSH_8,Electronics,CUST_8,433.76,392552.8,Meesho
MSH_9,2023-01-01,MSH_9,Electronics,CUST_9,302.55,244762.95,Meesho
MSH_10,2023-01-01,MSH_10,Clothing,CUST_10,355.5,113404.5,Meesho
MSH_11,2023-01-01,MSH_11,Toys,CUST_11,15.19,1898.75,Meesho
MSH_12,2023-01-01,MSH_12,Health,CUST_12,485.11,133890.36000000002,Meesho
MSH_13,2023-01-01,MSH_13,Electronics,CUST_13,417.06,406633.5,Meesho
MSH_14,2023-01-01,MSH_14,Books,CUST_14,110.11,22352.329999999998,Meesho
MSH_15,2023-01-01,MSH_15,Clothing,CUST_15,95.0,18335.0,Meesho
MSH_16,2023-01-01,MSH_16,Books,CUST_16,95.79,65137.200000000004,Meesho
MSH_17,2023-01-01,MSH_17,Toys,CUST_17,155.6,103162.8,Meesho
MSH_18,2023-01-01,MSH_18,Home & Kitchen,CUST_18,264.75,144553.5,Meesho
MSH_19,2023-01-01,MSH_19,Books,CUST_19,218.81,152072.95,Meesho
MSH_20,2023-01-01,MSH_20,Home & Kitchen,CUST_20,149.16,42510.6,Meesho
MSH_21,2023-01-01,MSH_21,Clothing,CUST_21,307.87,17240.72,Meesho
MSH_22,2023-01-01,MSH_22,Books,CUST_22,74.05,54278.65,Meesho
MSH_23,2023-01-01,MSH_23,Books,CUST_23,149.61,45182.22,Meesho
MSH_24,2023-01-01,MSH_24,Sports,CUST_24,186.35,30188.7,Meesho
MSH_25,2023-01-01,MSH_25,Clothing,CUST_25,230.75,4153.5,Meesho
MSH_26,2023-01-01,MSH_26,Clothing,CUST_26,393.66,145260.54,Meesho
MSH_27,2023-01-01,MSH_27,Electronics,CUST_27,103.84,27309.920000000002,Meesho
MSH_28,2023-01-01,MSH_28,Toys,CUST_28,259.55,205823.15000000002,Meesho
MSH_29,2023-01-01,MSH_29,Books,CUST_29,298.25,33404.0,Meesho
MSH_30,2023-01-01,MSH_30,Books,CUST_30,27.99,13631.13,Meesho
MSH_31,2023-01-01,MSH_31,Health,CUST_31,305.73,99667.98000000001,Meesho
MSH_32,2023-01-01,MSH_32,Clothing,CUST_32,89.41,48370.81,Meesho
MSH_33,2023-01-01,MSH_33,Clothing,CUST_33,37.2,24031.2,Meesho
MSH_34,2023-01-01,MSH_34,Toys,CUST_34,474.7,274376.6,Meesho
MSH_35,2023-01-01,MSH_35,Clothing,CUST_35,482.99,30911.36,Meesho
MSH_36,2023-01-01,MSH_36,Home & Kitchen,CUST_36,405.16,117901.56000000001,Meesho
MSH_37,2023-01-01,MSH_37,Home & Kitchen,CUST_37,155.78,3738.7200000000003,Meesho
MSH_38,2023-01-01,MSH_38,Sports,CUST_38,53.35,29235.8,Meesho
MSH_39,2023-01-01,MSH_39,Home & Kitchen,CUST_39,343.7,0.0,Meesho
MSH_40,2023-01-01,MSH_40,Home & Kitchen,CUST_40,222.88,202820.8,Meesho
MSH_41,2023-01-01,MSH_41,Toys,CUST_41,65.41,35844.68,Meesho
MSH_42,2023-01-01,MSH_42,Books,CUST_42,250.11,35015.4,Meesho
MSH_43,2023-01-01,MSH_43,Home & Kitchen,CUST_43,22.02,16360.86,Meesho
MSH_44,2023-01-01,MSH_44,Sports,CUST_44,455.11,294456.17,Meesho
MSH_45,2023-01-01,MSH_45,Clothing,CUST_45,133.1,119790.0,Meesho
MSH_46,2023-01-01,MSH_46,Home & Kitchen,CUST_46,332.95,62261.65,Meesho
MSH_47,2023-01-01,MSH_47,Sports,CUST_47,159.3,20231.100000000002,Meesho
MSH_48,2023-01-01,MSH_48,Toys,CUST_48,262.43,52486.0,Meesho
MSH_49,2023-01-01,MSH_49,Health,CUST_49,275.62,34728.12,Meesho
MSH_50,2023-01-01,MSH_50,Health,CUST_50,96.5,24704.0,Meesho
MSH_51,2023-01-01,MSH_51,Health,CUST_51,484.94,327334.5,Meesho
MSH_52,2023-01-01,MSH_52,Clothing,CUST_52,388.69,212224.74,Meesho
MSH_53,2023-01-01,MSH_53,Sports,CUST_53,470.05,90719.65000000001,Meesho
MSH_54,2023-01-01,MSH_54,Home & Kitchen,CUST_54,447.94,314453.88,Meesho
MSH_55,2023-01-01,MSH_55,Books,CUST_55,300.96,30998.879999999997,Meesho
MSH_56,2023-01-01,MSH_56,Clothing,CUST_56,461.33,246350.22,Meesho
MSH_57,2023-01-01,MSH_57,Clothing,CUST_57,48.8,12883.199999999999,Meesho
MSH_58,2023-01-01,MSH_58,Health,CUST_58,102.01,81710.01000000001,Meesho
MSH_59,2023-01-01,MSH_59,Books,CUST_59,27.39,25773.99,Meesho
MSH_60,2023-01-01,MSH_60,Health,CUST_60,166.04,161556.91999999998,Meesho
MSH_61,2023-01-01,MSH_61,Clothing,CUST_61,197.4,75604.2,Meesho
MSH_62,2023-01-01,MSH_62,Home & Kitchen,CUST_62,139.32,36083.88,Meesho
MSH_63,2023-01-01,MSH_63,Health,CUST_63,415.23,171489.99000000002,Meesho
MSH_64,2023-01-01,MSH_64,Health,CUST_64,181.59,179774.1,Meesho
MSH_65,2023-01-01,MSH_65,Health,CUST_65,144.06,51429.42,Meesho
MSH_66,2023-01-01,MSH_66,Clothing,CUST_66,273.63,20248.62,Meesho
MSH_67,2023-01-01,MSH_67,Home & Kitchen,CUST_67,74.76,26465.04,Meesho
MSH_68,2023-01-01,MSH_68,Books,CUST_68,402.09,234418.46999999997,Meesho
MSH_69,2023-01-01,MSH_69,Electronics,CUST_69,41.9,32263.0,Meesho
MSH_70,2023-01-01,MSH_70,Books,CUST_70,493.51,448600.58999999997,Meesho
MSH_71,2023-01-01,MSH_71,Home & Kitchen,CUST_71,387.26,72417.62,Meesho
MSH_72,2023-01-01,MSH_72,Toys,CUST_72,103.36,100465.92,Meesho
MSH_73,2023-01-01,MSH_73,Health,CUST_73,7.73,5287.320000000001,Meesho
MSH_74,2023-01-01,MSH_74,Books,CUST_74,408.65,404972.14999999997,Meesho
MSH_75,2023-01-01,MSH_75,Toys,CUST_75,354.89,102563.20999999999,Meesho
MSH_76,2023-01-01,MSH_76,Toys,CUST_76,365.86,16097.84,Meesho
MSH_77,2023-01-01,MSH_77,Home & Kitchen,CUST_77,386.78,221238.15999999997,Meesho
MSH_78,2023-01-01,MSH_78,Home & Kitchen,CUST_78,41.65,3415.2999999999997,Meesho
MSH_79,2023-01-01,MSH_79,Health,CUST_79,182.44,22257.68,Meesho
MSH_80,2023-01-01,MSH_80,Electronics,CUST_80,62.36,22262.52,Meesho
MSH_81,2023-01-01,MSH_81,Sports,CUST_81,432.24,227790.48,Meesho
